nome,tam,temp,comp
heap,134217728,126.235124,7142392738
heap,111848106,102.561463,5899181010
heap,93206755,83.171768,4867989650
heap,77672295,66.995916,4013757494
heap,64726912,53.710914,3309192984
heap,53939093,44.101375,2731703050
heap,44949244,35.395395,2252905726
heap,37457703,28.467751,1856497212
heap,31214752,23.428810,1530564116
heap,26012293,18.747592,1262730200
heap,21676910,14.872864,1040781842
heap,18064091,11.988602,857122560
heap,15053409,9.616796,706600820
heap,12544507,7.730777,582585444
heap,10453755,6.214024,479864850
heap,8711462,5.065682,394931682
heap,7259551,4.115891,325551918
heap,6049625,3.251631,268225832
heap,5041354,2.534902,220779006
heap,4201128,2.017064,181578254
heap,3500940,1.612393,149650674
heap,2917450,1.260471,123211724
heap,2431208,1.014901,101334074
heap,2026006,0.808042,83328876
heap,1688338,0.650007,68628700
heap,1406948,0.543099,56453894
heap,1172456,0.426640,46390758
heap,977046,0.340036,38141562
heap,814205,0.274006,31386834
heap,678504,0.224690,25794260
heap,565420,0.183035,21178404
heap,471183,0.149917,17407040
heap,392652,0.122656,14312108
heap,327210,0.100368,11749780
heap,272675,0.082159,9636998
heap,227229,0.067239,7919184
heap,189357,0.055044,6503554
heap,157797,0.045040,5333550
heap,131497,0.036882,4369270
heap,109580,0.030167,3589124
heap,91316,0.024682,2943976
heap,76096,0.020200,2411140
heap,63413,0.016558,1974266
heap,52844,0.013554,1619428
heap,44036,0.011081,1326182
heap,36696,0.009055,1084824
heap,30580,0.007404,887820
heap,25483,0.006044,727422
heap,21235,0.004969,595366
heap,17695,0.004055,485900
heap,14745,0.003313,397336
heap,12287,0.002687,324932
heap,10239,0.002209,265426
heap,8532,0.001792,216152
heap,7110,0.001477,176558
heap,5925,0.001194,144426
heap,4937,0.000972,117552
heap,4114,0.000803,95414
heap,3428,0.000647,77980
heap,2856,0.000526,63566
heap,2380,0.000427,51690
heap,1983,0.000349,41982
heap,1652,0.000283,34132
heap,1376,0.000229,27720
heap,1146,0.000186,22430
heap,955,0.000150,18140
heap,795,0.000123,14790
heap,662,0.000099,11988
heap,551,0.000080,9666
heap,459,0.000064,7826
heap,382,0.000052,6298
heap,318,0.000041,5074
heap,265,0.000034,4102
heap,220,0.000026,3314
heap,183,0.000022,2666
heap,152,0.000017,2102
heap,126,0.000015,1678
heap,105,0.000011,1346
heap,87,0.000009,1064
heap,72,0.000007,824
heap,60,0.000005,658
heap,50,0.000004,528
heap,41,0.000004,404
heap,34,0.000003,322
heap,28,0.000003,252
heap,23,0.000002,200
heap,19,0.000001,152
heap,15,0.000001,106
heap,12,0.000001,80
heap,10,0.000001,66
heap,8,0.000001,46
heap,6,0.000001,32
heap,5,0.000000,22
heap,4,0.000000,12
heap,3,0.000000,10
heap,2,0.000000,4
heap,1,0.000000,2
