nome,tam,temp,comp
heap,134217728,27.526432,3623878656
heap,111848106,22.852297,2997529240
heap,93206755,18.977940,2475571412
heap,77672295,15.716053,2040606532
heap,64726912,12.878733,1680517760
heap,53939093,10.686663,1389246647
heap,44949244,8.911939,1146520724
heap,37457703,7.325766,944249117
heap,31214752,6.029338,778029120
heap,26012293,4.992550,642765186
heap,21676910,4.137493,530045228
heap,18064091,3.425213,436111934
heap,15053409,2.818031,359558009
heap,12544507,2.318500,296835459
heap,10453755,1.926499,244566659
heap,8711462,1.602825,201009334
heap,7259551,1.311213,165840616
heap,6049625,1.083196,136802392
heap,5041354,0.899474,112603888
heap,4201128,0.735897,92438464
heap,3500940,0.611783,76327316
heap,2917450,0.508106,62907046
heap,2431208,0.421368,51723480
heap,2026006,0.347030,42474980
heap,1688338,0.285639,35046284
heap,1406948,0.237472,28855704
heap,1172456,0.194967,23696880
heap,977046,0.161595,19469390
heap,814205,0.133638,16049729
heap,678504,0.110780,13200008
heap,565420,0.091710,10825244
heap,471183,0.075439,8899372
heap,392652,0.061931,7328752
heap,327210,0.051215,6019912
heap,272675,0.042656,4929212
heap,227229,0.035085,4055207
heap,189357,0.029042,3335639
heap,157797,0.024119,2735999
heap,131497,0.019732,2236299
heap,109580,0.016321,1841368
heap,91316,0.013515,1512616
heap,76096,0.011228,1238656
heap,63413,0.009320,1012485
heap,52844,0.007584,832812
heap,44036,0.006311,683076
heap,36696,0.005179,558296
heap,30580,0.004283,456512
heap,25483,0.003528,374960
heap,21235,0.002929,306992
heap,17695,0.002420,250352
heap,14745,0.001988,204791
heap,12287,0.001606,167921
heap,10239,0.001346,137201
heap,8532,0.001107,111596
heap,7110,0.000897,91348
heap,5925,0.000752,74758
heap,4937,0.000612,60926
heap,4114,0.000500,49404
heap,3428,0.000411,40468
heap,2856,0.000338,33032
heap,2380,0.000277,26844
heap,1983,0.000227,21748
heap,1652,0.000185,17776
heap,1376,0.000156,14464
heap,1146,0.000124,11704
heap,955,0.000101,9481
heap,795,0.000082,7721
heap,662,0.000067,6258
heap,551,0.000055,5037
heap,459,0.000045,4078
heap,382,0.000036,3308
heap,318,0.000029,2668
heap,265,0.000023,2138
heap,220,0.000019,1724
heap,183,0.000016,1391
heap,152,0.000013,1112
heap,126,0.000010,880
heap,105,0.000008,712
heap,87,0.000007,568
heap,72,0.000005,448
heap,60,0.000004,356
heap,50,0.000003,286
heap,41,0.000003,223
heap,34,0.000003,174
heap,28,0.000002,136
heap,23,0.000002,106
heap,19,0.000001,82
heap,15,0.000001,59
heap,12,0.000001,44
heap,10,0.000001,34
heap,8,0.000000,24
heap,6,0.000000,16
heap,5,0.000001,12
heap,4,0.000000,8
heap,3,0.000001,5
heap,2,0.000000,2
heap,1,0.000000,0
