nome,tam,temp,comp
heap,1048576,3.008326,544778451
heap,873813,2.099560,378828185
heap,728177,1.480626,264614208
heap,606814,1.042536,185255293
heap,505678,0.732686,128940732
heap,421398,0.513065,89476629
heap,351165,0.363217,62699501
heap,292637,0.256801,43795024
heap,243864,0.182921,30854095
heap,203220,0.132079,22058814
heap,169350,0.093390,15230684
heap,141125,0.067315,10713980
heap,117604,0.048892,7617527
heap,98003,0.035226,5354058
heap,81669,0.025940,3851959
heap,68057,0.019037,2734552
heap,56714,0.014547,2050417
heap,47261,0.010892,1465416
heap,39384,0.008106,1071621
heap,32820,0.006115,760150
heap,27350,0.004762,593820
heap,22791,0.003620,422553
heap,18992,0.002844,320170
heap,15826,0.002203,239544
heap,13188,0.001722,172642
heap,10990,0.001410,148627
heap,9158,0.001176,116181
heap,7631,0.000965,95126
heap,6359,0.000754,70433
heap,5299,0.000586,49535
heap,4415,0.000500,44760
heap,3679,0.000390,27607
heap,3065,0.000317,24468
heap,2554,0.000259,20206
heap,2128,0.000222,18824
heap,1773,0.000173,12672
heap,1477,0.000140,9678
heap,1230,0.000122,9736
heap,1025,0.000095,7158
heap,854,0.000077,5621
heap,711,0.000062,4526
heap,592,0.000053,4052
heap,493,0.000041,2805
heap,410,0.000040,2456
heap,341,0.000028,1628
heap,284,0.000022,1572
heap,236,0.000017,1243
heap,196,0.000013,871
heap,163,0.000012,788
heap,135,0.000010,591
heap,112,0.000007,461
heap,93,0.000006,352
heap,77,0.000005,286
heap,64,0.000004,306
heap,53,0.000003,240
heap,44,0.000002,168
heap,36,0.000002,101
heap,30,0.000002,96
heap,25,0.000001,62
heap,20,0.000001,58
heap,16,0.000001,39
heap,13,0.000001,21
heap,10,0.000001,24
heap,8,0.000001,15
heap,6,0.000001,8
heap,5,0.000000,7
heap,4,0.000001,4
heap,3,0.000000,2
heap,2,0.000001,1
heap,1,0.000000,0
