nome,tam,temp,comp
heap,268435456,72.907745,7391854401
heap,223696213,60.701638,6159888811
heap,186413510,50.545526,5133232611
heap,155344591,42.110848,4277705231
heap,129453825,34.376887,3435291727
heap,107878187,28.628114,2862738332
heap,89898489,23.833140,2385620147
heap,74915407,19.823042,1988018277
heap,62429505,16.166597,1594249779
heap,52024587,13.420728,1328544142
heap,43353822,11.191802,1107113521
heap,36128185,9.312366,922599578
heap,30106820,7.567431,738728457
heap,25089016,6.315725,615605552
heap,20907513,5.221508,513005954
heap,17422927,4.376163,427504583
heap,14519105,3.570421,341735090
heap,12099254,2.962655,284777120
heap,10082711,2.466923,237314431
heap,8402259,2.048997,197761333
heap,7001882,1.656054,157799635
heap,5834901,1.377376,131501141
heap,4862417,1.142084,109583724
heap,4052014,0.920798,87267606
heap,3376678,0.772873,72723024
heap,2813898,0.631230,60602329
heap,2344915,0.525032,50501956
heap,1954095,0.432262,40130468
heap,1628412,0.353737,33441760
heap,1357010,0.293493,27867977
heap,1130841,0.242728,23224251
heap,942367,0.196717,18411177
heap,785305,0.163893,15342740
heap,654420,0.134808,12785618
heap,545350,0.113551,10654534
heap,454458,0.090611,8424231
heap,378715,0.074986,7020067
heap,315595,0.062129,5850034
heap,262995,0.051956,4874993
heap,219162,0.041718,3843428
heap,182635,0.034505,3202985
heap,152195,0.028628,2669160
heap,126829,0.023247,2097487
heap,105690,0.019160,1747950
heap,88075,0.015834,1456637
heap,73395,0.013167,1213852
heap,61162,0.010642,950363
heap,50968,0.008783,792005
heap,42473,0.007254,659999
heap,35394,0.006025,549971
heap,29495,0.004879,428834
heap,24579,0.004026,357290
heap,20482,0.003324,297749
heap,17068,0.002755,248115
heap,14223,0.002221,192495
heap,11852,0.001824,160405
heap,9876,0.001520,133659
heap,8230,0.001258,111398
heap,6858,0.001000,85979
heap,5715,0.000841,71653
heap,4762,0.000685,59699
heap,3968,0.000553,45787
heap,3306,0.000454,38134
heap,2755,0.000378,31796
heap,2295,0.000310,26483
heap,1912,0.000248,20157
heap,1593,0.000203,16784
heap,1327,0.000166,13964
heap,1105,0.000148,11627
heap,920,0.000106,8762
heap,766,0.000086,7298
heap,638,0.000068,6076
heap,531,0.000053,5043
heap,442,0.000042,3754
heap,368,0.000033,3115
heap,306,0.000026,2585
heap,255,0.000019,1913
heap,212,0.000016,1579
heap,176,0.000013,1306
heap,146,0.000010,1087
heap,121,0.000008,781
heap,100,0.000007,643
heap,83,0.000006,528
heap,69,0.000005,437
heap,57,0.000003,305
heap,47,0.000002,242
heap,39,0.000002,199
heap,32,0.000002,144
heap,26,0.000001,110
heap,21,0.000001,84
heap,17,0.000001,63
heap,14,0.000001,48
heap,11,0.000001,34
heap,9,0.000001,26
heap,7,0.000000,18
heap,5,0.000001,10
heap,4,0.000000,7
heap,3,0.000001,4
heap,2,0.000000,2
heap,1,0.000000,1
